"DateTime";"Arg12b1f";"Arg12b2f";"Arg12b3f"
"2022-05-10 08:20:38";;0
"2022-05-10 08:28:43";;;4,5
"2022-05-10 08:32:22";0
"2022-05-10 08:32:40";;0
"2022-05-10 08:40:48";;;4
"2022-05-10 08:44:26";0
"2022-05-10 08:44:44";;0
"2022-05-10 08:52:51";;;3,3
"2022-05-10 08:56:31";0
"2022-05-10 08:56:50";;0
"2022-05-10 09:04:58";;;3
"2022-05-10 09:08:35";0
"2022-05-10 09:08:56";;0
"2022-05-10 09:17:01";;;4,9
"2022-05-10 09:20:40";0
"2022-05-10 09:21:00";;0
"2022-05-10 09:29:06";;;4,6
"2022-05-10 09:32:44";0
"2022-05-10 09:33:04";;0
"2022-05-10 09:41:09";;;2,8
"2022-05-10 09:44:49";0
"2022-05-10 09:45:08";;0
"2022-05-10 09:53:14";;;2,4
"2022-05-10 09:56:56";0
"2022-05-10 09:57:13";;0
"2022-05-10 10:05:19";;;2,1
"2022-05-10 10:08:58";0
"2022-05-10 10:09:19";;0
"2022-05-10 10:17:23";;;4,2
"2022-05-10 10:21:03";0
"2022-05-10 10:21:24";;0
"2022-05-10 10:29:29";;;4,7
"2022-05-10 10:33:08";0
"2022-05-10 10:33:29";;0
"2022-05-10 10:41:32";;;3
"2022-05-10 10:45:12";0
"2022-05-10 10:45:32";;0
"2022-05-10 10:53:37";;;3,6
"2022-05-10 10:57:17";0
"2022-05-10 10:57:38";;0
"2022-05-10 11:05:41";;;3,2
"2022-05-10 11:09:22";0
"2022-05-10 11:09:43";;0
"2022-05-10 11:17:45";;;1,8
"2022-05-10 11:21:27";0
"2022-05-10 11:21:47";;0
"2022-05-10 11:29:51";;;2,7
"2022-05-10 11:33:31";0
"2022-05-10 11:33:53";;0
"2022-05-10 11:41:55";;;2,1
"2022-05-10 11:45:37";0
"2022-05-10 11:45:57";;0
"2022-05-10 11:54:01";;;2,4
"2022-05-10 11:57:41";0
"2022-05-10 11:58:01";;0
"2022-05-10 12:06:04";;;2,2
"2022-05-10 12:09:47";0
"2022-05-10 12:10:06";;0
"2022-05-10 12:18:07";;;2,3
"2022-05-10 12:21:52";0
"2022-05-10 12:22:12";;0
"2022-05-10 12:30:12";;;3,1
"2022-05-10 12:33:56";0
"2022-05-10 12:34:16";;0
"2022-05-10 12:42:17";;;2,2
"2022-05-10 12:46:00";0
"2022-05-10 12:46:21";;0
"2022-05-10 12:54:22";;;3,7
"2022-05-10 12:58:06";0
"2022-05-10 12:58:26";;0
"2022-05-10 13:06:26";;;3,6
"2022-05-10 13:10:10";0
"2022-05-10 13:10:31";;0
"2022-05-10 13:18:31";;;4,2
"2022-05-10 13:22:17";0
"2022-05-10 13:22:35";;0
"2022-05-10 13:30:36";;;3,5
"2022-05-10 13:34:20";0
"2022-05-10 13:34:40";;0
"2022-05-10 13:42:40";;;4,1
"2022-05-10 13:46:26";0
"2022-05-10 13:46:44";;0
"2022-05-10 13:54:44";;;4,1
"2022-05-10 13:58:31";0
"2022-05-10 13:58:49";;0
"2022-05-10 14:06:48";;;2,2
"2022-05-10 14:10:35";0
"2022-05-10 14:10:54";;0
"2022-05-10 14:18:55";;;2,7
