"DateTime";"Arg12b1f";"Arg12b2f";"Arg12b3f"
"2022-05-04 08:18:57";-499,7648
"2022-05-04 08:25:25";;;-659,7996
"2022-05-04 08:26:49";;-350,2497
"2022-05-04 08:31:03";-501,1153
"2022-05-04 08:37:30";;;-657,5609
"2022-05-04 08:38:53";;-354,0858
"2022-05-04 08:43:08";-501,3368
"2022-05-04 08:49:35";;;-603,7501
"2022-05-04 08:51:00";;-315,0286
"2022-05-04 08:55:12";-446,0771
"2022-05-04 09:01:39";;;-600,0524
"2022-05-04 09:03:04";;-314,3607
"2022-05-04 09:07:17";-445,1917
"2022-05-04 09:13:44";;;-538,218
"2022-05-04 09:15:10";;-274,2765
"2022-05-04 09:19:23";-392,1573
"2022-05-04 09:25:49";;;-540,54
"2022-05-04 09:27:14";;-237,0679
"2022-05-04 09:31:28";-336,9782
"2022-05-04 09:37:55";;;-482,6266
"2022-05-04 09:39:20";;-235,8349
"2022-05-04 09:43:31";-336,3335
"2022-05-04 09:49:59";;;-484,7227
"2022-05-04 09:51:24";;-236,4816
"2022-05-04 09:55:35";-336,1035
"2022-05-04 10:02:02";;;-557,3543
"2022-05-04 10:03:30";;-197,0081
"2022-05-04 10:07:40";-334,9432
"2022-05-04 10:14:08";;;-556,8262
"2022-05-04 10:15:31";;-237,5946
"2022-05-04 10:19:44";-335,9507
"2022-05-04 10:26:12";;;-497,0021
"2022-05-04 10:27:36";;-159,5975
"2022-05-04 10:31:48";-287,2448
"2022-05-04 10:38:17";;;-436,3614
"2022-05-04 11:24:23";;;-383,1189
"2022-05-04 11:24:43";-237,4428
"2022-05-04 11:24:48";;-121,4054
"2022-05-04 11:36:27";;;-321,5591
"2022-05-04 11:36:47";-182,6831
"2022-05-04 11:36:53";;-82,85898
"2022-05-04 11:48:31";;;-321,8819
"2022-05-04 11:48:52";-182,5981
"2022-05-04 11:48:59";;-83,5174
"2022-05-04 12:00:35";;;-323,2538
"2022-05-04 12:00:56";-182,3418
"2022-05-04 12:01:03";;-83,28133
"2022-05-04 12:12:40";;;-321,3911
"2022-05-04 12:13:02";-240,1285
"2022-05-04 12:13:08";;-82,73306
"2022-05-04 12:24:45";;;-321,8914
"2022-05-04 12:25:06";-182,8913
"2022-05-04 12:25:12";;-83,35319
"2022-05-04 12:36:50";;;-385,0724
"2022-05-04 12:37:10";-240,0447
"2022-05-04 12:37:17";;-83,24014
"2022-05-04 12:48:54";;;-383,2293
"2022-05-04 12:49:15";-238,1087
"2022-05-04 12:49:22";;-122,4204
"2022-05-04 13:01:00";;;-321,7005
"2022-05-04 13:01:21";-238,749
"2022-05-04 13:01:26";;-83,2383
"2022-05-04 13:13:02";;;-323,3149
"2022-05-04 13:13:25";-238,0721
"2022-05-04 13:13:32";;-82,83721
"2022-05-04 13:25:07";;;-387,6091
"2022-05-04 13:25:31";-239,4762
"2022-05-04 13:25:39";;-83,00154
"2022-05-04 13:37:11";;;-448,0046
"2022-05-04 13:37:35";-294,136
"2022-05-04 13:37:41";;-121,656
"2022-05-04 13:49:16";;;-506,2597
"2022-05-04 13:49:40";-292,9951
"2022-05-04 13:49:47";;-159,5892
"2022-05-04 14:01:20";;;-443,1763
"2022-05-04 14:01:43";-290,3307
"2022-05-04 14:01:51";;-121,0983
"2022-05-04 14:13:26";;;-447,1681
"2022-05-04 14:13:48";-291,6657
"2022-05-04 14:13:55";;-120,7199
"2022-05-04 14:25:30";;;-381,5352
"2022-05-04 14:25:53";-237,5301
"2022-05-04 14:26:01";;-120,9913
"2022-05-04 14:37:35";;;-320,8069
"2022-05-04 14:37:58";-239,9285
"2022-05-04 14:38:06";;-83,49041
"2022-05-04 14:49:39";;;-384,9937
"2022-05-04 14:50:05";-239,5849
"2022-05-04 14:50:10";;-120,8372
"2022-05-04 15:01:43";;;-385,6044
"2022-05-04 15:02:08";-238,8044
"2022-05-04 15:02:15";;-122,0084
"2022-05-04 15:13:48";;;-321,4005
"2022-05-04 15:14:13";-239,5592
"2022-05-04 15:14:20";;-83,3848
"2022-05-04 15:25:53";;;-384,6087
"2022-05-04 15:26:18";-239,9608
"2022-05-04 15:26:25";;-121,6301
"2022-05-04 15:37:57";;;-382,4078
"2022-05-04 15:38:23";-238,2404
"2022-05-04 15:38:30";;-120,8917
"2022-05-04 15:50:02";;;-384,2522
"2022-05-04 15:50:28";-238,0378
"2022-05-04 15:50:35";;-121,8922
"2022-05-04 16:02:07";;;-381,7141
"2022-05-04 16:02:34";-293,9911
"2022-05-04 16:02:41";;-121,3598
"2022-05-04 16:14:12";;;-435,5684
"2022-05-04 16:14:37";-290,4356
